run,type,module,name,attrname,attrvalue,value
General-0-20250904-16:23:18-30210,runattr,,,configname,General,
General-0-20250904-16:23:18-30210,runattr,,,datetime,20250904-16:23:18,
General-0-20250904-16:23:18-30210,runattr,,,datetimef,20250904-162318,
General-0-20250904-16:23:18-30210,runattr,,,experiment,General,
General-0-20250904-16:23:18-30210,runattr,,,inifile,omnetpp.ini,
General-0-20250904-16:23:18-30210,runattr,,,iterationvars,,
General-0-20250904-16:23:18-30210,runattr,,,iterationvarsd,,
General-0-20250904-16:23:18-30210,runattr,,,iterationvarsf,,
General-0-20250904-16:23:18-30210,runattr,,,measurement,,
General-0-20250904-16:23:18-30210,runattr,,,network,DemoNet,
General-0-20250904-16:23:18-30210,runattr,,,processid,30210,
General-0-20250904-16:23:18-30210,runattr,,,repetition,0,
General-0-20250904-16:23:18-30210,runattr,,,replication,#0,
General-0-20250904-16:23:18-30210,runattr,,,resultdir,results,
General-0-20250904-16:23:18-30210,runattr,,,runnumber,0,
General-0-20250904-16:23:18-30210,runattr,,,seedset,0,
General-0-20250904-16:23:18-30210,config,,,network,DemoNet,
General-0-20250904-16:23:18-30210,config,,,sim-time-limit,30s,
General-0-20250904-16:23:18-30210,config,,,output-vector-file,results/General-0.vec,
General-0-20250904-16:23:18-30210,config,,,output-scalar-file,results/General-0.sca,
General-0-20250904-16:23:18-30210,config,,,**.vector-recording,true,
General-0-20250904-16:23:18-30210,scalar,DemoNet.a,sentTotal,,,3
General-0-20250904-16:23:18-30210,scalar,DemoNet.a,okTotal,,,3
General-0-20250904-16:23:18-30210,scalar,DemoNet.a,successRateFinal,,,1
General-0-20250904-16:23:18-30210,scalar,DemoNet.b,sentTotal,,,2
General-0-20250904-16:23:18-30210,scalar,DemoNet.b,okTotal,,,2
General-0-20250904-16:23:18-30210,scalar,DemoNet.b,successRateFinal,,,1
